DATE,PMMS_30Y,CC30,PSS30
2000-01-12,8.15,1.52,663.0000000000001
2000-01-19,8.18,1.55,663.0
2000-01-26,8.26,1.54,672.0
2000-02-02,8.25,1.53,672.0
2000-02-09,8.25,1.53,672.0
2000-02-16,8.36,1.55,681.0
2000-02-23,8.38,1.54,684.0000000000001
2000-03-01,8.31,1.67,664.0
2000-03-08,8.27,1.69,658.0
2000-03-15,8.23,1.71,652.0
2000-03-22,8.24,1.73,651.0
2000-03-29,8.23,1.73,650.0
2000-04-05,8.23,1.94,629.0000000000001
2000-04-12,8.2,2.04,615.9999999999999
2000-04-19,8.12,2.06,605.9999999999999
2000-04-26,8.16,2.12,604.0
2000-05-03,8.13,2.12,601.0000000000001
2000-05-10,8.28,2.17,611.0
2000-05-17,8.52,2.19,633.0
2000-05-24,8.64,2.19,645.0000000000001
2000-05-31,8.62,2.28,634.0
2000-06-07,8.54,2.22,631.9999999999999
2000-06-14,8.32,2.18,614.0
2000-06-21,8.22,2.14,608.0
2000-06-28,8.14,2.15,599.0
2000-07-05,8.22,2.17,605.0000000000001
2000-07-12,8.16,2.15,601.0
2000-07-19,8.09,2.11,598.0
2000-07-26,8.21,2.08,613.0000000000001
2000-08-02,8.13,2.14,599.0
2000-08-09,8.12,2.13,598.9999999999999
2000-08-16,8.04,2.12,591.9999999999999
2000-08-23,7.96,2.19,577.0
2000-08-30,7.99,2.2,579.0
2000-09-06,7.96,2.17,579.0
2000-09-13,7.94,2.17,577.0
2000-09-20,7.88,2.16,572.0
2000-09-27,7.9,2.14,576.0
2000-10-04,7.88,2.16,572.0
2000-10-11,7.83,2.22,561.0
2000-10-18,7.84,2.35,549.0
2000-10-25,7.83,2.37,546.0
2000-11-01,7.68,2.51,517.0
2000-11-08,7.73,2.47,526.0
2000-11-15,7.79,2.48,531.0
2000-11-22,7.73,2.54,519.0
2000-11-29,7.73,2.61,512.0000000000001
2000-12-06,7.65,2.68,497.00000000000006
2000-12-13,7.54,2.71,483.0
2000-12-20,7.42,2.66,476.0
2000-12-27,7.17,2.7,447.0
2001-01-03,7.13,2.67,446.0
2001-01-10,7.07,2.57,450.0
2001-01-17,6.89,2.48,441.0
2001-01-24,7.02,2.41,460.99999999999994
2001-01-31,7.15,2.36,479.0000000000001
2001-02-07,7.09,2.33,476.0
2001-02-14,6.98,2.36,462.0000000000001
2001-02-21,7.01,2.37,463.99999999999994
2001-02-28,7.12,2.42,470.0
2001-03-07,7.03,2.38,465.00000000000006
2001-03-14,6.97,2.38,459.0
2001-03-21,6.96,2.39,457.0
2001-03-28,6.89,2.44,444.99999999999994
2001-04-04,6.91,2.53,438.00000000000006
2001-04-11,7.01,2.47,453.9999999999999
2001-04-18,7.04,2.5,454.0
2001-04-25,7.14,2.55,459.0
2001-05-02,7.12,2.17,495.0
2001-05-09,7.14,2.16,497.99999999999994
2001-05-16,7.1,2.13,497.0
2001-05-23,7.14,2.1,503.9999999999999
2001-05-30,7.2,2.06,514.0
2001-06-06,7.24,2.03,521.0000000000001
2001-06-13,7.2,2.03,517.0
2001-06-20,7.14,2.07,507.0
2001-06-27,7.11,2.06,505.00000000000006
2001-07-04,7.11,2.05,506.00000000000006
2001-07-11,7.19,2.07,512.0000000000001
2001-07-18,7.21,2.08,513.0
2001-07-25,7.08,2.05,503.0
2001-08-01,7.03,2.03,500.0
2001-08-08,7.0,2.03,497.00000000000006
2001-08-15,7.0,2.06,493.99999999999994
2001-08-22,6.92,2.09,483.0
2001-08-29,6.91,2.08,483.0
2001-09-05,6.92,2.1,482.0
2001-09-12,6.89,2.17,472.0
2001-09-19,6.86,2.41,445.0
2001-09-26,6.8,2.47,433.0
2001-10-03,6.72,2.46,426.0
2001-10-10,6.64,2.47,417.0
2001-10-17,6.58,2.42,416.0
2001-10-24,6.61,2.45,416.0
2001-10-31,6.64,2.57,407.0
2001-11-07,6.56,2.61,395.0
2001-11-14,6.45,2.52,393.0
2001-11-21,6.51,2.41,409.99999999999994
2001-11-28,6.75,2.34,441.0
2001-12-05,7.02,2.34,468.0
2001-12-12,6.84,2.36,448.00000000000006
2001-12-19,7.09,2.34,475.0
2001-12-26,7.17,2.31,485.99999999999994
2002-01-02,7.16,2.2,496.0
2002-01-09,7.14,2.18,495.9999999999999
2002-01-16,7.06,2.22,484.0
2002-01-23,6.83,2.24,459.0
2002-01-30,6.96,2.28,468.0
2002-02-06,7.02,2.51,451.0
2002-02-13,6.88,2.49,438.99999999999994
2002-02-20,6.86,2.56,430.00000000000006
2002-02-27,6.81,2.49,431.99999999999994
2002-03-06,6.8,2.42,438.0
2002-03-13,6.87,2.38,449.0
2002-03-20,7.08,2.35,473.00000000000006
2002-03-27,7.14,2.38,476.0
2002-04-03,7.18,2.38,480.0
2002-04-10,7.13,2.42,471.0
2002-04-17,6.99,2.42,457.0
2002-04-24,6.94,2.59,435.00000000000006
2002-05-01,6.88,2.8,408.0
2002-05-08,6.78,2.76,402.00000000000006
2002-05-15,6.79,2.75,404.0
2002-05-22,6.89,2.76,413.0
2002-05-29,6.81,2.67,413.99999999999994
2002-06-05,6.76,2.25,451.0
2002-06-12,6.71,2.35,435.99999999999994
2002-06-19,6.71,2.41,430.0
2002-06-26,6.63,2.68,395.0
2002-07-03,6.55,2.78,377.0
2002-07-10,6.57,2.71,386.00000000000006
2002-07-17,6.54,2.87,367.0
2002-07-24,6.49,3.35,314.0
2002-07-31,6.34,3.29,305.0
2002-08-07,6.43,3.48,295.0
2002-08-14,6.31,3.52,278.99999999999994
2002-08-21,6.22,3.28,294.0
2002-08-28,6.27,3.19,307.99999999999994
2002-09-04,6.22,3.29,293.0
2002-09-11,6.15,3.25,290.00000000000006
2002-09-18,6.18,3.16,301.99999999999994
2002-09-25,6.05,3.37,268.0
2002-10-02,5.99,3.42,257.0
2002-10-09,6.01,3.99,201.99999999999994
2002-10-16,5.98,3.84,214.00000000000006
2002-10-23,6.15,3.79,236.00000000000003
2002-10-30,6.31,3.66,264.99999999999994
2002-11-06,6.13,3.31,282.0
2002-11-13,6.11,3.32,279.00000000000006
2002-11-20,5.94,2.97,297.0
2002-11-27,6.03,2.86,317.00000000000006
2002-12-04,6.13,2.82,331.0
2002-12-11,6.19,2.84,335.00000000000006
2002-12-18,6.04,2.71,333.0
2002-12-25,6.03,2.72,331.0
2003-01-01,5.93,2.7,322.99999999999994
2003-01-08,5.85,2.57,328.0
2003-01-15,5.95,2.48,347.0
2003-01-22,5.97,2.56,340.99999999999994
2003-01-29,5.91,2.54,337.0
2003-02-05,5.9,2.46,344.00000000000006
2003-02-12,5.88,2.46,342.0
2003-02-19,5.86,2.47,339.0
2003-02-26,5.84,2.45,338.99999999999994
2003-03-05,5.79,2.48,331.0
2003-03-12,5.67,2.59,308.0
2003-03-19,5.61,2.47,314.0
2003-03-26,5.79,2.38,341.0
2003-04-02,5.91,2.29,362.0
2003-04-09,5.79,2.26,353.0
2003-04-16,5.85,2.16,368.99999999999994
2003-04-23,5.82,2.02,380.0
2003-04-30,5.79,1.97,382.0
2003-05-07,5.7,1.87,383.0
2003-05-14,5.62,1.94,368.0
2003-05-21,5.45,1.99,346.0
2003-05-28,5.34,1.93,341.0
2003-06-04,5.31,1.92,338.99999999999994
2003-06-11,5.26,1.86,339.99999999999994
2003-06-18,5.21,1.78,343.0
2003-06-25,5.21,1.8,341.0
2003-07-02,5.24,1.81,343.0
2003-07-09,5.4,1.75,365.00000000000006
2003-07-16,5.52,1.71,380.99999999999994
2003-07-23,5.67,1.67,400.0
2003-07-30,5.94,1.68,426.00000000000006
2003-08-06,6.14,1.75,438.99999999999994
2003-08-13,6.34,1.76,458.0
2003-08-20,6.24,1.72,452.00000000000006
2003-08-27,6.28,1.68,460.00000000000006
2003-09-03,6.32,1.63,469.00000000000006
2003-09-10,6.44,1.65,479.0000000000001
2003-09-17,6.16,1.6,456.00000000000006
2003-09-24,6.01,1.59,442.0
2003-10-01,5.98,1.59,439.00000000000006
2003-10-08,5.77,1.57,419.99999999999994
2003-10-15,5.95,1.5,445.0
2003-10-22,6.05,1.51,454.0
2003-10-29,6.05,1.5,455.0
2003-11-05,5.94,1.52,442.0
2003-11-12,5.98,1.45,453.0
2003-11-19,6.03,1.43,460.00000000000006
2003-11-26,5.83,1.41,442.0
2003-12-03,5.89,1.37,451.99999999999994
2003-12-10,6.02,1.35,467.0
2003-12-17,5.88,1.36,451.99999999999994
2003-12-24,5.82,1.33,449.0
2003-12-31,5.85,1.3,455.0
2004-01-14,5.87,1.28,459.0
2004-01-21,5.66,1.26,440.00000000000006
2004-01-28,5.64,1.24,439.99999999999994
2004-02-04,5.68,1.29,438.99999999999994
2004-02-11,5.72,1.29,443.0
2004-02-18,5.66,1.28,438.0
2004-02-25,5.58,1.31,426.99999999999994
2004-03-03,5.58,1.31,426.99999999999994
2004-03-10,5.59,1.33,426.0
2004-03-17,5.41,1.34,407.0
2004-03-24,5.38,1.35,402.99999999999994
2004-03-31,5.4,1.33,407.0
2004-04-07,5.52,1.28,423.99999999999994
2004-04-14,5.79,1.26,453.0
2004-04-21,5.89,1.26,463.0
2004-04-28,5.94,1.23,471.0000000000001
2004-05-05,6.01,1.28,472.99999999999994
2004-05-12,6.12,1.34,478.0
2004-05-19,6.34,1.33,501.0
2004-05-26,6.3,1.34,496.0
2004-06-02,6.32,1.34,498.00000000000006
2004-06-09,6.28,1.32,496.0
2004-06-16,6.3,1.31,499.0
2004-06-23,6.32,1.3,502.00000000000006
2004-06-30,6.25,1.33,492.0
2004-07-07,6.21,1.33,488.0
2004-07-14,6.01,1.32,468.99999999999994
2004-07-21,6.0,1.29,471.0
2004-07-28,5.98,1.29,469.00000000000006
2004-08-04,6.08,1.32,476.0
2004-08-11,5.99,1.33,466.0
2004-08-18,5.85,1.32,452.99999999999994
2004-08-25,5.81,1.3,451.0
2004-09-01,5.82,1.28,454.0
2004-09-08,5.77,1.25,451.99999999999994
2004-09-15,5.83,1.23,459.99999999999994
2004-09-22,5.75,1.23,451.99999999999994
2004-09-29,5.7,1.23,447.00000000000006
2004-10-06,5.72,1.21,451.0
2004-10-13,5.82,1.21,461.00000000000006
2004-10-20,5.74,1.25,449.0
2004-10-27,5.69,1.22,447.00000000000006
2004-11-03,5.64,1.21,443.0
2004-11-10,5.7,1.17,453.0
2004-11-17,5.76,1.16,459.99999999999994
2004-11-24,5.72,1.14,458.0
2004-12-08,5.81,1.13,468.0
2004-12-15,5.71,1.13,458.0
2004-12-22,5.75,1.12,463.0
2004-12-29,5.81,1.1,470.9999999999999
2005-01-12,5.77,1.16,460.99999999999994
2005-01-19,5.74,1.18,456.00000000000006
2005-01-26,5.67,1.17,450.0
2005-02-02,5.66,1.16,450.0
2005-02-09,5.63,1.16,447.0
2005-02-16,5.57,1.14,443.00000000000006
2005-02-23,5.62,1.12,450.0
2005-03-02,5.69,1.1,459.0
2005-03-09,5.79,1.1,468.99999999999994
2005-03-16,5.85,1.18,467.0
2005-03-23,5.95,1.28,467.0
2005-03-30,6.01,1.31,469.99999999999994
2005-04-06,6.04,1.37,467.0
2005-04-13,5.93,1.46,447.0
2005-04-20,5.91,1.54,437.0
2005-04-27,5.8,1.5,430.0
2005-05-04,5.78,1.53,425.0
2005-05-11,5.75,1.63,412.0
2005-05-18,5.77,1.71,405.99999999999994
2005-05-25,5.71,1.64,407.0
2005-06-01,5.65,1.36,429.0
2005-06-08,5.62,1.32,430.0
2005-06-15,5.56,1.3,426.0
2005-06-22,5.63,1.34,429.0
2005-06-29,5.57,1.33,424.0
2005-07-06,5.53,1.33,420.0
2005-07-13,5.62,1.29,433.0
2005-07-20,5.66,1.26,440.00000000000006
2005-07-27,5.73,1.22,451.00000000000006
2005-08-03,5.77,1.22,455.0
2005-08-10,5.82,1.23,459.0
2005-08-17,5.89,1.23,466.0
2005-08-24,5.8,1.22,458.0
2005-08-31,5.77,1.21,455.99999999999994
2005-09-07,5.71,1.23,448.00000000000006
2005-09-14,5.71,1.22,449.0
2005-09-21,5.74,1.24,450.0
2005-09-28,5.8,1.24,455.99999999999994
2005-10-05,5.91,1.23,468.0
2005-10-12,5.98,1.28,470.0
2005-10-19,6.03,1.25,478.0
2005-10-26,6.1,1.26,484.0
2005-11-02,6.15,1.29,486.00000000000006
2005-11-09,6.31,1.29,501.99999999999994
2005-11-16,6.36,1.34,502.00000000000006
2005-11-23,6.28,1.35,493.0
2005-12-07,6.26,1.39,487.0
2005-12-14,6.32,1.38,494.00000000000006
2005-12-21,6.3,1.39,491.0
2005-12-28,6.26,1.39,487.0
2006-01-04,6.22,1.21,501.0
2006-01-11,6.21,1.2,501.0
2006-01-18,6.15,1.2,495.0
2006-01-25,6.1,1.18,492.0
2006-02-01,6.12,1.16,496.0
2006-02-08,6.23,1.16,507.0
2006-02-15,6.24,1.14,510.00000000000006
2006-02-22,6.28,1.13,515.0
2006-03-01,6.26,1.13,513.0
2006-03-08,6.24,1.14,510.00000000000006
2006-03-15,6.37,1.13,524.0
2006-03-22,6.34,1.13,521.0
2006-03-29,6.32,1.14,518.0000000000001
2006-04-05,6.35,1.16,519.0
2006-04-12,6.43,1.15,527.9999999999999
2006-04-19,6.49,1.15,534.0
2006-04-26,6.53,1.13,540.0
2006-05-03,6.58,1.11,547.0
2006-05-10,6.59,1.11,548.0
2006-05-17,6.58,1.13,545.0
2006-05-24,6.6,1.16,544.0
2006-05-31,6.62,1.19,543.0
2006-06-07,6.67,1.22,545.0
2006-06-14,6.62,1.25,537.0
2006-06-21,6.63,1.25,538.0
2006-06-28,6.71,1.27,544.0
2006-07-05,6.78,1.26,552.0
2006-07-12,6.79,1.26,553.0
2006-07-19,6.74,1.28,546.0
2006-07-26,6.8,1.27,552.9999999999999
2006-08-02,6.72,1.27,544.9999999999999
2006-08-09,6.63,1.28,535.0
2006-08-16,6.55,1.27,527.9999999999999
2006-08-23,6.52,1.27,525.0
2006-08-30,6.48,1.27,521.0000000000001
2006-09-06,6.44,1.28,516.0
2006-09-13,6.47,1.27,519.9999999999999
2006-09-20,6.43,1.27,516.0
2006-09-27,6.4,1.28,512.0
2006-10-04,6.31,1.3,501.0
2006-10-11,6.3,1.28,501.99999999999994
2006-10-18,6.37,1.26,511.00000000000006
2006-10-25,6.36,1.25,511.00000000000006
2006-11-01,6.4,1.26,514.0
2006-11-08,6.31,1.23,508.0
2006-11-15,6.33,1.21,512.0
2006-11-22,6.18,1.22,496.0
2006-12-06,6.14,1.22,492.0
2006-12-13,6.11,1.21,490.00000000000006
2006-12-20,6.12,1.22,490.00000000000006
2006-12-27,6.13,1.21,492.0
2007-01-03,6.18,1.22,496.0
2007-01-10,6.18,1.21,497.0
2007-01-17,6.21,1.18,503.0
2007-01-24,6.23,1.16,507.0
2007-01-31,6.25,1.17,508.0
2007-02-07,6.34,1.15,519.0
2007-02-14,6.28,1.14,514.0
2007-02-21,6.3,1.12,518.0
2007-02-28,6.22,1.16,505.99999999999994
2007-03-07,6.18,1.19,499.0
2007-03-14,6.14,1.2,493.99999999999994
2007-03-21,6.14,1.21,493.0
2007-03-28,6.16,1.21,495.0
2007-04-04,6.16,1.23,493.0
2007-04-11,6.17,1.21,496.0
2007-04-18,6.22,1.2,501.99999999999994
2007-04-25,6.17,1.2,497.0
2007-05-02,6.16,1.2,496.0
2007-05-09,6.16,1.19,497.00000000000006
2007-05-16,6.15,1.17,498.00000000000006
2007-05-23,6.21,1.16,505.0
2007-05-30,6.37,1.17,520.0
2007-06-06,6.42,1.2,522.0
2007-06-13,6.53,1.22,531.0
2007-06-20,6.74,1.21,553.0
2007-06-27,6.69,1.25,544.0
2007-07-04,6.67,1.27,540.0
2007-07-11,6.63,1.29,534.0
2007-07-18,6.73,1.31,542.0
2007-07-25,6.73,1.41,532.0
2007-08-01,6.69,1.62,507.0
2007-08-08,6.68,1.61,506.99999999999994
2007-08-15,6.59,1.68,491.0
2007-08-22,6.62,1.79,483.0
2007-08-29,6.52,1.8,472.0
2007-09-05,6.45,1.78,467.0
2007-09-12,6.46,1.86,459.99999999999994
2007-09-19,6.31,1.83,447.99999999999994
2007-09-26,6.34,1.77,457.0
2007-10-03,6.42,1.78,463.99999999999994
2007-10-10,6.37,1.72,465.00000000000006
2007-10-17,6.4,1.7,470.0
2007-10-24,6.4,1.77,463.00000000000006
2007-10-31,6.33,1.83,450.0
2007-11-07,6.26,1.94,432.0
2007-11-14,6.24,2.05,419.00000000000006
2007-11-21,6.2,2.24,396.0
2007-12-05,6.1,2.41,368.99999999999994
2007-12-12,5.96,2.44,352.0
2007-12-19,6.11,2.43,368.0
2007-12-26,6.14,2.42,372.0
2008-01-02,6.17,2.47,370.0
2008-01-09,6.07,2.64,343.0
2008-01-16,5.87,2.6,327.0
2008-01-23,5.69,2.79,290.00000000000006
2008-01-30,5.48,2.75,273.00000000000006
2008-02-06,5.68,2.8,288.0
2008-02-13,5.67,2.88,279.0
2008-02-20,5.72,2.91,280.99999999999994
2008-02-27,6.04,2.96,308.0
2008-03-05,6.24,3.18,306.0
2008-03-12,6.03,3.38,265.00000000000006
2008-03-19,6.13,3.54,259.0
2008-03-26,5.87,3.49,238.0
2008-04-02,5.85,3.4,244.99999999999997
2008-04-09,5.88,3.32,256.0
2008-04-16,5.88,3.31,257.0
2008-04-23,5.88,3.17,271.0
2008-04-30,6.03,3.03,300.00000000000006
2008-05-07,6.06,2.95,310.99999999999994
2008-05-14,6.05,2.93,311.99999999999994
2008-05-21,6.01,2.92,309.0
2008-05-28,5.98,2.92,306.00000000000006
2008-06-04,6.08,2.86,322.0
